user_id,min_price_usd,max_price_usd,avg_price_usd,best_product_id
ab26a833-1c78-47c5-9af1-b69792047f94,0.28,30.6,10.41,e38f5a63-b725-4860-9be3-8fd6aa2c3081
c082d652-9526-476f-accf-96144bba6789,0.19,45.81,15.98,dd9c2dfd-7b62-4c8a-a82b-5afe970936cd
53e8d864-6328-4df4-838e-a83ca7c22ed5,0.22,40.91,13.76,46271d74-0ae8-437e-b9aa-c5a520303853
643a9bf9-b1ee-406a-933f-c575bf3ff6c9,0.21,44.64,14.88,2c8a0f1d-9248-493b-a1a6-e6c305cd26ed
c7234472-3541-49a1-b073-a422e2df9100,0.21,38.38,13.37,4d1a2306-3485-4037-a052-1ccbde7d950c
d91101b0-23c6-4f06-8bd2-3770258e6309,0.04,44.95,14.41,d1a83293-aca8-42f1-bca6-7f6d23f3e1ba
f2c94e29-48cd-4ad4-81b6-637df7dea172,0.43,36.87,11.9,1a777ca4-de24-40b2-b4e8-d2907977a828
9c02b677-e7a6-4cc2-96c6-0768b3efc419,0.09,39.79,14.54,dd9c2dfd-7b62-4c8a-a82b-5afe970936cd
476f35dd-0d27-45e1-8254-32901d14901b,0.05,37.89,16.2,8d3ef8a0-c433-4933-885d-882636334f73
565b4aab-a271-4550-91c6-c7d8bd44e9c7,0.03,42.57,13.26,a053d482-7d48-45ea-a2a2-506a3c753bf9
488688be-fc79-490a-b118-46fc5155097d,0.12,41.17,14.85,46271d74-0ae8-437e-b9aa-c5a520303853
19692424-b03d-4ccc-95df-7148a9aec4a4,0.03,42.57,13.74,4f8a1ad4-1278-4a88-a914-dce97e8ae4f2
48b3ca3b-bda0-494b-b950-3e51a381190c,0.17,29.28,11.69,f51decca-d770-4b3b-a3ff-53ade9b30b5a
d3cb68c2-f4bf-4e34-b721-7655fff0922f,0.08,42.05,13.31,0d07a11e-7094-4e59-8697-5b0f8b2121da
2ae9ab35-a5a4-4678-a3e9-ae122804ffe1,0.03,43.17,13.95,2c8a0f1d-9248-493b-a1a6-e6c305cd26ed
3ed5cb59-e789-4147-a51d-07badc8970b9,0.19,43.79,12.91,2c8a0f1d-9248-493b-a1a6-e6c305cd26ed
beb6dadc-3904-440b-a9cc-268448656387,1.36,40.56,12.97,1a777ca4-de24-40b2-b4e8-d2907977a828
3e7a5949-f598-4780-a974-7c07eb1c52d2,0.15,34.42,13.46,46271d74-0ae8-437e-b9aa-c5a520303853
c14757c2-3553-413e-ac75-521baf85ac38,1.64,35.81,17.81,46271d74-0ae8-437e-b9aa-c5a520303853
7c48d67e-fd37-4c23-86a2-741799c2ee3e,0.19,37.64,12.62,d1a83293-aca8-42f1-bca6-7f6d23f3e1ba
f4edc819-d1c8-4759-89e3-3aefaaffa334,0.19,32.31,11.06,7eba46b5-8818-41b2-9069-a4bb25fef390
3a23e6eb-8eea-4cf1-a619-e78671734e16,0.12,40.9,14.14,f0ca88c0-7159-489e-ba9f-f71294cd94d6
91e823c5-c3d1-4fc8-8480-1d28388bd7f4,0.06,38.15,9.83,e1a85301-d2a3-4c0c-9b95-0f23c4cc0fb1
274a4d22-7f84-4ff7-843d-2d0bff20deca,0.14,35.25,11.0,1a777ca4-de24-40b2-b4e8-d2907977a828
ac391639-eb88-4da0-9d3c-2db9a94f3a6b,0.08,38.97,14.13,d1a83293-aca8-42f1-bca6-7f6d23f3e1ba
9bec3324-4269-4287-94dc-8a76196e8486,0.67,37.12,13.5,0d07a11e-7094-4e59-8697-5b0f8b2121da
83e91f49-090a-40c7-804d-bcfe4f1dda11,0.17,44.69,12.91,2c8a0f1d-9248-493b-a1a6-e6c305cd26ed
63803c68-3939-474c-8889-68ba3c7fa056,3.23,35.99,14.57,1a777ca4-de24-40b2-b4e8-d2907977a828
0158fd49-b25c-4808-8bb2-db99062391eb,0.27,33.47,12.49,4d1a2306-3485-4037-a052-1ccbde7d950c
a0adfaab-5f8c-403b-b9c9-a77d9f54003e,0.24,38.0,14.06,7eba46b5-8818-41b2-9069-a4bb25fef390
b02fdb0c-798e-4bc2-99ae-508da9cc9b25,0.16,43.61,16.48,f51decca-d770-4b3b-a3ff-53ade9b30b5a
68bf231e-f1e9-4093-a090-a79b38f9c2c1,0.5,41.32,14.63,f0ca88c0-7159-489e-ba9f-f71294cd94d6
9ecbdb89-1f3e-40b2-ab54-59c9a91caa85,0.08,37.54,13.77,8d3ef8a0-c433-4933-885d-882636334f73
f38954b9-71a3-44e4-a94b-15fe6b57ca9f,0.01,40.93,13.54,e1a85301-d2a3-4c0c-9b95-0f23c4cc0fb1
86788adb-2cf8-4943-b435-ec7776943d3b,0.18,41.49,14.58,85e191f3-7458-45dd-b816-159b7e1af8c7
6a1a8be9-ead7-4c4d-a25b-48ae44cbb266,0.01,37.82,12.76,d37b41eb-b7b8-47eb-803a-3279b7fd8b4c
94d6a8e1-f4ef-41a4-bbb7-930a5e186d66,0.08,39.35,13.39,dd9c2dfd-7b62-4c8a-a82b-5afe970936cd
4ce793ca-04ce-4e10-af84-7a174f65849f,0.96,34.6,11.29,e1a85301-d2a3-4c0c-9b95-0f23c4cc0fb1
bef2af24-bc1f-431d-9cb0-f77425867817,0.45,31.12,11.12,f0ca88c0-7159-489e-ba9f-f71294cd94d6
c1952e85-176a-4aca-9c4c-72c0eb0a267c,0.07,39.93,12.97,4d1a2306-3485-4037-a052-1ccbde7d950c
bdb051cf-5986-4e2c-a77d-06959d24ab93,0.2,35.87,14.22,d1a83293-aca8-42f1-bca6-7f6d23f3e1ba
82e9cff7-6f38-4863-a0f0-2d612020c9f0,0.02,44.45,14.99,4f8a1ad4-1278-4a88-a914-dce97e8ae4f2
752daeb6-b106-4634-b498-d4156b52bc3d,0.41,41.84,15.46,d1a83293-aca8-42f1-bca6-7f6d23f3e1ba
fd770092-1897-42bd-8ab4-98db3c4562de,0.77,38.97,12.11,dd9c2dfd-7b62-4c8a-a82b-5afe970936cd
91cf2cb8-229d-4b05-91af-65ba7e753092,0.11,42.84,17.05,a053d482-7d48-45ea-a2a2-506a3c753bf9
4437970c-e30d-4676-a819-3606d6261370,0.83,36.62,12.88,85e191f3-7458-45dd-b816-159b7e1af8c7
91621292-a021-48de-90d2-6a37dc444e02,0.21,39.73,12.1,561d6eb7-a333-4c90-9455-8629ca6ca3d7
5daf5901-1fa9-4a8f-a61f-29fa0adac21d,0.06,45.13,13.55,561d6eb7-a333-4c90-9455-8629ca6ca3d7
02f498ef-cffa-45de-acc9-c7534be066e4,0.02,39.11,9.68,2e2c57f9-a913-46dc-a2f5-5e6dcfb9a970
ba1f6da8-0ae7-4e7b-87b5-50041e9a3e11,0.38,32.4,14.11,d37b41eb-b7b8-47eb-803a-3279b7fd8b4c
636b97aa-9764-47b3-b588-8e5d73e998ee,0.02,36.06,14.79,46271d74-0ae8-437e-b9aa-c5a520303853
0ef1b470-b517-427d-8ced-162e4f6a63a9,0.14,31.58,13.2,8d3ef8a0-c433-4933-885d-882636334f73
c14d2772-bc9a-46b2-90e7-5026814cf049,0.04,43.9,15.02,e1a85301-d2a3-4c0c-9b95-0f23c4cc0fb1
0ae9420a-736b-4273-b9d7-4279e8e89f9f,0.1,41.57,14.38,dd9c2dfd-7b62-4c8a-a82b-5afe970936cd
f5afe84c-52f0-48fb-aa82-e53042d6fe39,0.26,34.3,16.76,561d6eb7-a333-4c90-9455-8629ca6ca3d7
b5c5dc35-38ec-4f70-89f4-d9b1e66a8304,0.1,38.6,13.13,d37b41eb-b7b8-47eb-803a-3279b7fd8b4c
fbad5ca7-da41-45b3-aac2-44026e5f2d83,0.14,44.34,14.04,2c8a0f1d-9248-493b-a1a6-e6c305cd26ed
